model,mode,threshold,top_k,n,micro_f1,macro_f1,precision,recall,avg_pred_labels,median_pred_labels
B1_ESM2_only,threshold,0.72,,16725,0.022519675992416843,0.0008086254141318382,0.45265588914549654,0.011547071992459055,0.025889387144992525,0.0
B1_ESM2_only,threshold,0.73,,16725,0.01970954356846473,0.000672225236046809,0.4523809523809524,0.01007423117709438,0.022600896860986548,0.0
B1_ESM2_only,threshold,0.74,,16725,0.018268007862180597,0.0006280506454863415,0.4876543209876543,0.009308353953104748,0.01937219730941704,0.0
B1_ESM2_only,threshold,0.75,,16725,0.017142526206057798,0.0005932661322437744,0.5051194539249146,0.008719217626958879,0.0175186846038864,0.0
B1_ESM2_only,threshold,0.76,,16725,0.015779092702169626,0.0005687775611186453,0.5151515151515151,0.008012254035583834,0.0157847533632287,0.0
B1_ESM2_only,threshold,0.77,,16725,0.014984318736206296,0.0005466740836112822,0.5286885245901639,0.007599858607281725,0.014588938714499252,0.0
B1_ESM2_only,threshold,0.78,,16725,0.014181099616412876,0.000522750900049302,0.5258620689655172,0.007187463178979616,0.013871449925261584,0.0
B1_ESM2_only,threshold,0.79,,16725,0.01327433628318584,0.0004741252635696415,0.5643564356435643,0.00671615411806292,0.012077727952167414,0.0
B1_ESM2_only,threshold,0.8,,16725,0.012937062937062939,0.00046829253872903586,0.5967741935483871,0.006539413220219159,0.011121076233183856,0.0
B1_ESM2_only,threshold,0.81,,16725,0.012832477834811012,0.00045190728873108405,0.6470588235294118,0.006480499587604572,0.010164424514200299,0.0
B1_ESM2_only,threshold,0.82,,16725,0.012385347899748789,0.000444087770292168,0.7412587412587412,0.006244845057146223,0.008550074738415545,0.0
B1_ESM2_only,threshold,0.83,,16725,0.011808031799848016,0.00043416115849834034,0.7593984962406015,0.0059502768940732885,0.007952167414050823,0.0
B1_ESM2_only,threshold,0.84,,16725,0.011585722644821533,0.00043006772545586846,0.853448275862069,0.005832449628844115,0.006935724962630792,0.0
B1_ESM2_only,threshold,0.85,,16725,0.011357648849598967,0.0004259252729243085,0.9065420560747663,0.00571462236361494,0.0063976083707025415,0.0
B1_ESM2_only,threshold,0.86,,16725,0.011243851018973999,0.00042460937061402493,0.9411764705882353,0.005655708731000354,0.006098654708520179,0.0
B1_ESM2_only,threshold,0.87,,16725,0.011128682715398582,0.00042240047762772385,0.9595959595959596,0.0055967950983857664,0.005919282511210763,0.0
B1_ESM2_only,threshold,0.88,,16725,0.010779776202472318,0.0002317313597597563,0.968421052631579,0.005420054200542005,0.005680119581464873,0.0
B1_ESM2_only,threshold,0.89,,16725,0.00984817398440706,0.00021698649015855308,0.9882352941176471,0.00494874513962531,0.005082212257100149,0.0
B1_ESM2_only,threshold,0.9,,16725,0.009614820894647358,0.0002141875243764096,0.9879518072289156,0.004830917874396135,0.004962630792227205,0.0
B3_contact_only,threshold,0.01,,16725,0.02534469039823644,0.0027088971514848494,0.014249882656653367,0.11446918817014257,8.152585949177878,4.0
B3_contact_only,threshold,0.02,,16725,0.03848709132233813,0.0028753304348283705,0.023989770564217316,0.09726640744668316,4.114857997010463,2.0
B3_contact_only,threshold,0.03,,16725,0.0475402006049992,0.0028024999099549343,0.03257265031852692,0.08795805349357841,2.7405680119581466,2.0
B3_contact_only,threshold,0.04,,16725,0.05444483417124596,0.003051618245494327,0.040676682972280456,0.08230234476257806,2.053452914798206,1.0
B3_contact_only,threshold,0.05,,16725,0.05967040927200289,0.00320491969096469,0.048452319682376295,0.07764816778602569,1.6264275037369207,1.0
B3_contact_only,threshold,0.06,,16725,0.06343567622430855,0.003088186484836225,0.05571403102157247,0.07364204076823377,1.3414648729446936,1.0
B3_contact_only,threshold,0.07,,16725,0.0652440383329619,0.003022647504547789,0.06188563576788923,0.0689878637916814,1.1313602391629298,1.0
B3_contact_only,threshold,0.08,,16725,0.0670028818443804,0.0029399240288097857,0.06830701432243849,0.06574761399787911,0.9768609865470852,1.0
B3_contact_only,threshold,0.09,,16725,0.06798469387755103,0.002831159271760541,0.07409981926873349,0.06280193236714976,0.8601494768310912,0.0
B3_contact_only,threshold,0.1,,16725,0.06894007980417798,0.0027973904113410227,0.08000622616546035,0.060563214327795455,0.7682511210762332,0.0
B3_contact_only,threshold,0.11,,16725,0.0688351248205595,0.002521620932494119,0.08483645464744972,0.05791210086013904,0.6927952167414051,0.0
B3_contact_only,threshold,0.12,,16725,0.06920138257231218,0.0025315143380912333,0.09047664351631624,0.05602686461647225,0.6284603886397608,0.0
B3_contact_only,threshold,0.13,,16725,0.06840439957812265,0.0022893658276350076,0.0948401921871736,0.05349357841404501,0.5724364723467863,0.0
B3_contact_only,threshold,0.14,,16725,0.06834616281782131,0.0022591745808608955,0.100480109739369,0.051785083068221986,0.5230493273542601,0.0
B3_contact_only,threshold,0.15,,16725,0.06820085350775736,0.002288545333782729,0.10556858871465613,0.0503711558854719,0.4842451420029895,0.0
B3_contact_only,threshold,0.16,,16725,0.06779107281414629,0.0022858309054894894,0.11047517636097431,0.04889831507010722,0.44920777279521673,0.0
B3_contact_only,threshold,0.17,,16725,0.06749053384929056,0.002277039272667752,0.1148887944468055,0.04777895605043007,0.4220627802690583,0.0
B3_contact_only,threshold,0.18,,16725,0.0670367388448663,0.0022693210270728417,0.11939622641509434,0.04660068339813833,0.3961136023916293,0.0
B3_contact_only,threshold,0.19,,16725,0.06627831715210356,0.002238968485131571,0.12385099177552007,0.04524566984800283,0.370762331838565,0.0
B3_contact_only,threshold,0.2,,16725,0.06564282580078983,0.0022518053331490014,0.12861072902338377,0.04406739719571109,0.34774289985052315,0.0
B3_contact_only,threshold,0.21,,16725,0.06484702524306485,0.0022389923109437976,0.13344346549192365,0.04283021091080476,0.32573991031390137,0.0
B3_contact_only,threshold,0.22,,16725,0.06382689783169615,0.00220430814816265,0.13777604064881765,0.04153411099328384,0.305949177877429,0.0
B3_contact_only,threshold,0.23,,16725,0.06313084969719214,0.0021762925145339305,0.14267938614682704,0.04053257923883587,0.28831091180866963,0.0
B3_contact_only,threshold,0.24,,16725,0.062227175629237484,0.002167328308019762,0.14692982456140352,0.0394721338517733,0.2726457399103139,0.0
B3_contact_only,threshold,0.25,,16725,0.061856639247943594,0.002170381274856291,0.15298767728435247,0.03876517026039825,0.2571599402092676,0.0
B3_contact_only,threshold,0.26,,16725,0.060974451514863706,0.0021652711807247475,0.1571988246816846,0.03782255213856486,0.24418535127055307,0.0
B3_contact_only,threshold,0.27,,16725,0.05977870383675816,0.002091453278382798,0.15987701767870868,0.0367621067515023,0.23336322869955156,0.0
B3_contact_only,threshold,0.28,,16725,0.05894004541282188,0.002084963471003235,0.16375838926174496,0.03593731589489808,0.2227204783258595,0.0
B3_contact_only,threshold,0.29,,16725,0.058723279933778065,0.002063478072141732,0.16923940499579007,0.03552492046659597,0.21303437967115096,0.0
B3_contact_only,threshold,0.3,,16725,0.057743297652951,0.0019967948630191033,0.1733490566037736,0.03464121597737717,0.2028101644245142,0.0
B3_contact_only,threshold,0.31,,16725,0.05669338082517067,0.001981372529210157,0.17685185185185184,0.03375751148815836,0.1937219730941704,0.0
B3_contact_only,threshold,0.32,,16725,0.05564974568664605,0.0019362991637369344,0.18116883116883117,0.032873806998939555,0.18415545590433482,0.0
B3_contact_only,threshold,0.33,,16725,0.054768364988443376,0.0019350676370099484,0.18613387978142076,0.032107929774949924,0.17506726457399102,0.0
B3_contact_only,threshold,0.34,,16725,0.05397483196037802,0.00192020605398079,0.18983291859225027,0.031459879816189466,0.1681913303437967,0.0
B3_contact_only,threshold,0.35,,16725,0.05371585533343507,0.0019260357658227307,0.19664804469273742,0.031106398020501944,0.16053811659192826,0.0
B3_contact_only,threshold,0.36,,16725,0.05221932114882506,0.0018896959801883494,0.19929660023446658,0.030045952633439378,0.15300448430493274,0.0
B3_contact_only,threshold,0.37,,16725,0.05166469407708537,0.0018446266166306585,0.2041480276535177,0.029574643572522683,0.1470254110612855,0.0
B3_contact_only,threshold,0.38,,16725,0.05056876938986556,0.0017609927379044236,0.20667793744716823,0.02880876634853305,0.14146487294469356,0.0
B3_contact_only,threshold,0.39,,16725,0.04979468787359011,0.001755128596321778,0.21147902869757174,0.02821963002238718,0.13542600896860987,0.0
B3_contact_only,threshold,0.4,,16725,0.0492333368102639,0.0017746870357194982,0.21454545454545454,0.027807234594085073,0.13153961136023917,0.0
B3_contact_only,threshold,0.41,,16725,0.047791227794371956,0.0017549617841482628,0.21621621621621623,0.02686461647225168,0.1260986547085202,0.0
B3_contact_only,threshold,0.42,,16725,0.04735845085245212,0.001748617165318148,0.22167487684729065,0.026511134676564158,0.12137518684603886,0.0
B3_contact_only,threshold,0.43,,16725,0.04713840300163822,0.0017500512042259093,0.2288353001539251,0.02627548014610581,0.1165321375186846,0.0
B3_contact_only,threshold,0.44,,16725,0.0462918723788289,0.001738453003652727,0.23403113258185723,0.025686343819959937,0.11139013452914798,0.0
B3_contact_only,threshold,0.45,,16725,0.04577877142552964,0.0016871379709981972,0.23730684326710816,0.025332862024272415,0.1083408071748879,0.0
B3_contact_only,threshold,0.46,,16725,0.04551768351319586,0.001681355230710728,0.24426605504587157,0.02509720749381407,0.10427503736920778,0.0
B3_contact_only,threshold,0.47,,16725,0.04516440487046077,0.0016886969579457461,0.25224685440383465,0.024802639330741134,0.09979073243647235,0.0
B3_contact_only,threshold,0.48,,16725,0.044760060253927265,0.0016803443611094694,0.2577447335811648,0.024508071167668198,0.09650224215246636,0.0
B3_contact_only,threshold,0.49,,16725,0.043935877368165385,0.0016655418982858099,0.262073406310367,0.023977848474136917,0.09285500747384155,0.0
B3_contact_only,threshold,0.5,,16725,0.043555988948480416,0.0016507526070459963,0.27070707070707073,0.02368328031106398,0.08878923766816144,0.0
B3_contact_only,threshold,0.51,,16725,0.043152173913043476,0.0016480324772239169,0.27840112201963535,0.023388712147991046,0.08526158445440957,0.0
B3_contact_only,threshold,0.52,,16725,0.04239782016348774,0.0016419925624862092,0.282703488372093,0.02291740308707435,0.08227204783258595,0.0
B3_contact_only,threshold,0.53,,16725,0.04175319707071811,0.001629784352525179,0.28851963746223563,0.02250500765877224,0.07916292974588938,0.0
B3_contact_only,threshold,0.54,,16725,0.04130375239660368,0.001630659789710192,0.29430132708821233,0.022210439495699306,0.07659192825112107,0.0
B3_contact_only,threshold,0.55,,16725,0.04064817357868717,0.0016232296754935605,0.3005686433793664,0.021798044067397195,0.07360239162929746,0.0
B3_contact_only,threshold,0.56,,16725,0.03975770925110132,0.001606030037627383,0.30438448566610454,0.021267821373865913,0.0709118086696562,0.0
B3_contact_only,threshold,0.57,,16725,0.03909226436972006,0.0016026280071141953,0.3113456464379947,0.020855425945563805,0.06798206278026905,0.0
B3_contact_only,threshold,0.58,,16725,0.03894020686984899,0.00160484729664718,0.318552036199095,0.02073759868033463,0.06606875934230194,0.0
B3_contact_only,threshold,0.59,,16725,0.038580931263858094,0.0016047354146387994,0.32645403377110693,0.020501944149876283,0.06373692077727952,0.0
