model,threshold,n_rare_classes,micro_f1,macro_f1,precision,recall,avg_pred_labels,median_pred_labels
Fusion_ESM2_contact,0.43,3028,0.0630673674151935,0.0014304719821721273,0.577259475218659,0.03335579514824798,0.020508221225710013,0.0
Fusion_ESM2_contact,0.44,3028,0.06222080408423739,0.001427754259136519,0.5873493975903614,0.03285040431266846,0.01985052316890882,0.0
Fusion_ESM2_contact,0.45,3028,0.06104186641099392,0.0014240931056191217,0.593167701863354,0.03217654986522911,0.019252615844544095,0.0
Fusion_ESM2_contact,0.46,3028,0.0601888906675204,0.0010919952421719137,0.6045016077170418,0.03167115902964959,0.0185949177877429,0.0
Fusion_ESM2_contact,0.47,3028,0.05931388265469701,0.0007551915444755638,0.6125827814569537,0.03116576819407008,0.01805680119581465,0.0
Fusion_ESM2_contact,0.48,3028,0.057812750923398104,0.0007502452577704807,0.6185567010309279,0.03032345013477089,0.017399103139013453,0.0
Fusion_ESM2_contact,0.49,3028,0.057262345182563935,0.0007483594752706128,0.6334519572953736,0.02998652291105121,0.01680119581464873,0.0
Fusion_ESM2_contact,0.5,3028,0.054211035818005814,0.0007339972099101039,0.6412213740458015,0.02830188679245283,0.015665171898355756,0.0
Fusion_ESM2_contact,0.51,3028,0.05398416033618878,0.000733023964657391,0.6653386454183267,0.028133423180592993,0.015007473841554559,0.0
Fusion_ESM2_contact,0.52,3028,0.053100210458151206,0.0007298516122421772,0.6804979253112033,0.027628032345013476,0.014409566517189835,0.0
Fusion_ESM2_contact,0.53,3028,0.05188908707637425,0.000721049191116458,0.6926406926406926,0.026954177897574125,0.013811659192825112,0.0
Fusion_ESM2_contact,0.54,3028,0.05191434133679429,0.000721049191116458,0.7017543859649122,0.026954177897574125,0.013632286995515695,0.0
Fusion_ESM2_contact,0.55,3028,0.05137376036416843,0.0007190636330125444,0.7348837209302326,0.026617250673854446,0.012855007473841554,0.0
Fusion_ESM2_contact,0.56,3028,0.0511317375020355,0.0007180662648432443,0.7658536585365854,0.02644878706199461,0.012257100149476832,0.0
Fusion_ESM2_contact,0.57,3028,0.051206784083496416,0.0007180662648432443,0.8010204081632653,0.02644878706199461,0.01171898355754858,0.0
Fusion_ESM2_contact,0.58,3028,0.05092214787008324,0.0007168406256808158,0.8167539267015707,0.02628032345013477,0.011420029895366219,0.0
Fusion_ESM2_contact,0.59,3028,0.04998366546880105,0.0007136022150721128,0.8225806451612904,0.025774932614555258,0.011121076233183856,0.0
